DifficultyDate,SubmissionDate,ReceivingRegionCode,ReceivingDistrictOffice,JASCCode,AircraftMake,AircraftModel,AircraftTotalTime,AircraftTotalCycles,PartName,PartCondition,PartLocation,Discrepancy,Year,Month
2018-08-23,2018-09-14 12:40:00,SW,21.0,5347.0,AIRBUS,A321211,59650.0,22273.0,SEAT TRACK,CORRODED,FRAMES 12-24,"CORRODED SEAT TRACK BETWEEN FRAMES 12 TO 24. REPLACED THE SEAT TRACK IAW SRM 51-72-11, AND DRAWING D53110920.",2018.0,9.0
2018-01-30,2018-02-01 07:02:00,SW,21.0,2560.0,AIRBUS,A321211,56700.0,21301.0,GIRT BAR,DIRTY,L4 DOOR,L4 DOOR DIFFICULT TO ARM. CLEANED AND LUBRICATED THE DOOR GIRT BAR FITTINGS AND EMERGENCY CONTROL HANDLE IAW AMM 52-13-22.,2018.0,2.0
2018-01-30,2018-02-01 07:02:00,SW,21.0,5210.0,AIRBUS,A321231,11022.0,3241.0,CYLINDER,LOW PRESSURE,L4 DOOR,"L4 EMERGENCY OPERATIONS CYLINDER HAD LOW PRESSURE, 1500 PSI AT 71 DEGREES FARENHEIT. SERVICED THE L4 DOOR CYLINDER IAW AMM 52-10-00.",2018.0,2.0
2018-09-24,2018-09-24 09:02:00,SO,29.0,2560.0,AIRBUS,A319132,48092.0,22574.0,MEGAPHONE,INOPERATIVE,CABIN,AFT MEGAPHONE INOP. REPLACED AFT MEGAPHONE IAW NK319-132-EQ.,2018.0,9.0
2018-08-04,2018-08-21 08:27:00,SW,21.0,5321.0,AIRBUS,A319132,58690.0,26096.0,FLOOR PANEL,DELAMINATED,CABIN,"DELAMINATED FLOOR PANEL 222EF, FRAMES 16 TO 20,-Y1292 TO -Y254. REPLACED THE FLOOR PANEL IAW SRM 53-12-00-300-006, AND IRM 9701 REV H.",2018.0,8.0
2018-12-29,2018-12-29 08:57:00,SW,27.0,5320.0,AIRBUS,A320232,77637.0,30328.0,DOOR SILL,CORRODED,FRAME 66,(SUPPORT TASK) L2 FR66 DOOR SILL IS CORRODED OUT OF LIMITS. REFE R TO AAR N/R: 9815448. EVALUATED AND DETERMINED NON-REPAIRABLE CONDITION IAW AOP 03-02- 07. REMOVED AND REPLACED FR66 LH DOOR SILL IAW A320 SRM 51-42-11 AND A320 SRM 51-72-11. PROTECTED APPLICABLE AREAS/FASTENERS IAW A320 SRM 51-21-11. WORK PERFORMED BY: V925563. ADD EMP:V925563,2018.0,12.0
2018-01-16,2018-02-01 08:51:00,SW,21.0,5320.0,AIRBUS,A319132,38873.0,18279.0,ANGLE,CORRODED,FRAME 68,"CORRODED AFT CORNER ANGLE TO L2 DOOR CUT OUT AT FRAME 68, STRINGER 23L, LBL 66. REPLACED THE ANGLE IAW DRAWING 53480505, AND SRM 51-42-11.",2018.0,2.0
2018-07-13,2018-07-13 15:10:00,CE,23.0,5321.0,AIRBUS,A300B4622R,48716.0,20775.0,FLOOR PANEL,BROKEN,ZONE 200,MAIN DECK CARGO COMPT 242EK FLOOR PANEL BROKEN. FABRICATED 242EK FLOOR PANEL ON T18/1353526 IAW DWG SRZ-25-005 REV M. MAJOR REPAIR.,2018.0,7.0
2018-01-21,2018-02-20 10:00:00,SW,21.0,5310.0,AIRBUS,A330323,77032.0,10896.0,CROSSBEAM,CRACKED,FRAME 74,"CRACK LOCATED ON THE CROSSBEAM, FRAME 74, Y1453. REPAIRED THE CROSSBEAM IAW SRM 53-00-14-300-002, FIGURE 20102.",2018.0,2.0
2018-06-08,2018-06-11 14:16:00,SW,21.0,3350.0,AIRBUS,A321231,9069.0,3353.0,POWER SUPPLY,NO TEST,EMERGENCY LIGHTS,EMERGENCY POWER SUPPLY 14WL FAILED ON A CIDS TEST. REPLACED EPSU IAW 33-51-00.,2018.0,6.0
